"","LAD17CD","sample"
"127","E07000096",61
"128","E07000098",71
"129","E07000099",171
"130","E07000102",87
"131","E07000103",72
"132","E07000105",122
"133","E07000106",68
"134","E07000107",36
"135","E07000108",26
"136","E07000109",51
"137","E07000110",111
"138","E07000111",105
"139","E07000112",89
"140","E07000113",108
"141","E07000114",82
"142","E07000115",46
"143","E07000116",29
"144","E07000117",22
"145","E07000118",122
"146","E07000119",25
"147","E07000120",27
"148","E07000121",56
"149","E07000122",139
"150","E07000123",108
"151","E07000124",43
"152","E07000125",48
"153","E07000126",10
"154","E07000127",84
"155","E07000128",63
"156","E07000129",119
"157","E07000130",173
"158","E07000131",66
"159","E07000132",105
"160","E07000134",73
"161","E07000135",29
"162","E07000136",87
"163","E07000137",144
"164","E07000138",172
"165","E07000139",172
"166","E07000140",97
"167","E07000141",160
"168","E07000142",151
"169","E07000143",54
"170","E07000144",112
"171","E07000145",126
"172","E07000146",158
"173","E07000147",207
"174","E07000148",170
"175","E07000149",158
"176","E07000150",74
"177","E07000151",116
"178","E07000152",157
"179","E07000153",150
"180","E07000154",350
"181","E07000155",105
"182","E07000156",75
"183","E07000163",65
"184","E07000164",149
"185","E07000165",276
"186","E07000166",37
"187","E07000167",24
"188","E07000168",166
"189","E07000169",53
"190","E07000170",124
"191","E07000171",102
"192","E07000172",94
"193","E07000173",110
"194","E07000174",137
"195","E07000175",90
"196","E07000176",90
"197","E07000177",46
"198","E07000178",60
"199","E07000179",104
"200","E07000180",91
"201","E07000181",47
"202","E07000187",131
"203","E07000188",107
"204","E07000189",107
"205","E07000190",60
"206","E07000192",150
"207","E07000193",96
"208","E07000194",99
"209","E07000195",76
"210","E07000196",168
"211","E07000197",100
"212","E07000198",66
"213","E07000199",55
"214","E07000200",186
"215","E07000201",45
"216","E07000202",198
"217","E07000203",102
"218","E07000204",122
"219","E07000205",189
"220","E07000206",183
"221","E07000207",97
"222","E07000208",89
"223","E07000209",136
"224","E07000210",72
"225","E07000211",99
"226","E07000212",79
"227","E07000213",89
"228","E07000214",67
"229","E07000215",74
"230","E07000216",89
"231","E07000217",100
"232","E07000218",108
"233","E07000219",282
"234","E07000220",183
"235","E07000221",277
"236","E07000222",181
"237","E07000223",59
"238","E07000224",121
"239","E07000225",129
"240","E07000226",80
"241","E07000227",31
"242","E07000228",88
"243","E07000229",41
"244","E07000234",57
"245","E07000235",109
"246","E07000236",119
"247","E07000237",39
"248","E07000238",77
"249","E07000239",104
"250","E07000240",118
"251","E07000241",105
"252","E07000242",141
"253","E07000243",126
"254","E08000001",151
"255","E08000002",39
"256","E08000003",266
"257","E08000004",132
"258","E08000005",113
"259","E08000006",126
"260","E08000007",161
"261","E08000008",163
"262","E08000009",136
"263","E08000010",125
"264","E08000011",92
"265","E08000012",352
"266","E08000013",122
"267","E08000014",197
"268","E08000015",258
"269","E08000016",146
"270","E08000017",219
"271","E08000018",275
"272","E08000019",342
"273","E08000021",160
"274","E08000022",90
"275","E08000023",208
"276","E08000024",199
"277","E08000025",567
"278","E08000026",130
"279","E08000027",153
"280","E08000028",156
"281","E08000029",91
"282","E08000030",208
"283","E08000031",133
"284","E08000032",246
"285","E08000033",97
"286","E08000034",252
"287","E08000035",398
"288","E08000036",172
"289","E08000037",144
"290","E09000001",5
"291","E09000002",90
"292","E09000003",171
"293","E09000004",94
"294","E09000005",162
"295","E09000006",236
"296","E09000007",66
"297","E09000008",180
"298","E09000009",152
"299","E09000010",137
"300","E09000011",152
"301","E09000012",89
"302","E09000013",76
"303","E09000014",122
"304","E09000015",157
"305","E09000016",44
"306","E09000017",247
"307","E09000018",109
"308","E09000019",103
"309","E09000020",53
"310","E09000021",71
"311","E09000022",150
"312","E09000023",149
"313","E09000024",106
"314","E09000025",109
"315","E09000026",116
"316","E09000027",131
"317","E09000028",138
"318","E09000029",84
"319","E09000030",115
"320","E09000031",163
"321","E09000032",172
"322","E09000033",79
"323","W06000001",104
"324","W06000002",183
"325","W06000003",60
"326","W06000004",112
"327","W06000005",266
"328","W06000006",199
"329","W06000008",176
"330","W06000009",235
"331","W06000010",265
"332","W06000011",218
"333","W06000012",45
"334","W06000013",113
"335","W06000014",66
"336","W06000015",237
"337","W06000016",186
"338","W06000018",248
"339","W06000019",73
"340","W06000020",220
"341","W06000021",225
"342","W06000022",195
"343","W06000023",272
"344","W06000024",52
