"","CSP17NM","violence_syn","property_syn","damage_syn","pop","violence_syn_pol","property_syn_pol","damage_syn_pol","HHproperty_syn","HHdamage_syn","HHpop","HHproperty_syn_pol","HHdamage_syn_pol","all_syn_pol","all_syn","all_ME","violence_ME","property_ME","damage_ME"
"11","Barrow-in-Furness",0.0682762314183566,0.0808993082244427,0.0814757878554958,69087,0.0275594540217407,0.0178708685626441,0.013739431206764,2526,2544,31224,558,429,0.0418457886433048,0.141661962453139,0.29539184632676,0.403646385414458,0.220902612826603,0.168632075471698
"12","Basildon",0.0741502719244457,0.0902730047012894,0.0933522118054601,174497,0.0194444603632154,0.0402221427982295,0.024276248865917,6567,6791,72746,2926,1766,0.0463331747823745,0.150701731261856,0.307449518956535,0.262230466032924,0.445561139028476,0.260050066264173
"13","Bassetlaw",0.0649991582715327,0.0788386095202131,0.0786497996517507,112863,0.0185091659799934,0.0273144943042356,0.0129439654268152,3758,3749,47667,1302,617,0.03551208101858,0.131513427784128,0.27002627501179,0.284760087241003,0.346460883448643,0.164577220592158
"14","Bath and North East Somerset",0.0715389510044541,0.0837244099843569,0.0901040603958376,176016,0.0204867739296428,0.0255049989798,0.0177242739576957,6155,6624,73515,1875,1303,0.0385419507317517,0.144140305426779,0.267391904142525,0.286372299872935,0.304630381803412,0.196708937198068
"15","Bedford",0.0713364956597388,0.0858302513633799,0.0853131072525544,157479,0.0227141396630662,0.0246975490503354,0.0201372782548737,5477,5444,63812,1576,1285,0.0408816413617054,0.140685424723296,0.290589031821259,0.318408403062133,0.287748767573489,0.236039676708303
"16","Bexley",0.0709319517062721,0.0853094898708479,0.0864109541704462,231997,0.0266770691000315,0.0400306682216751,0.0285732797719321,7900,8002,92604,3707,2646,0.054061043892809,0.139475941499244,0.387601211446937,0.376093825960136,0.469240506329114,0.330667333166708
"17","Birmingham",0.081560419180929,0.0945010907249425,0.0866371586615247,1073045,0.0217493208579323,0.0361229597600405,0.0216318998091231,38815,35585,410736,14837,8885,0.0438565018242478,0.150895815180165,0.290640941711237,0.266665143170548,0.38224913049079,0.249683855557117
"18","Blaby",0.0662301016876963,0.0775215840355684,0.0800289510417205,93915,0.0242346802960124,0.0353616295300626,0.0160006203794654,2999,3096,38686,1368,619,0.0453921098865996,0.131129212585849,0.346163215590743,0.365916398713826,0.456152050683561,0.199935400516796
"19","Blackburn with Darwen",0.0797279797137414,0.0945373389360626,0.0904399072411208,147489,0.0350263409474605,0.0269907415479574,0.0145938311858142,5422,5187,57353,1548,837,0.0511970384232044,0.151658767772512,0.337580472103004,0.43932307168977,0.285503504241977,0.161364950838635
"20","Blackpool",0.0725161017843945,0.0780524181645874,0.071900197306073,142065,0.0323795445746665,0.0239563751611851,0.0107042428573648,5024,4628,64367,1542,689,0.0480836236933798,0.14045683313976,0.342337375964719,0.44651523975927,0.306926751592357,0.148876404494382
"21","Blaenau Gwent",0.0707737703039505,0.0900841662283009,0.094687006838506,69814,0.0133640817028103,0.0229155707522357,0.014268805891636,2740,2880,30416,697,434,0.0295642707766351,0.151273383562036,0.195436038253953,0.18882817243473,0.254379562043796,0.150694444444444
"22","Bolsover",0.0649434529301663,0.0792049022895643,0.0848449742385903,75866,0.0286821501067672,0.0244809609463126,0.0183226121154843,2598,2783,32801,803,601,0.0471884638705085,0.135871141222682,0.347303065580132,0.441648061700832,0.309083910700539,0.21595400646784
"23","Bolton",0.0738151496101681,0.0888537522234921,0.0862843835663524,276786,0.0321620313166128,0.0318378290123828,0.0135342997825919,10340,10041,116371,3705,1575,0.0512381406574032,0.147449654245518,0.347495834558463,0.43571044001762,0.358317214700193,0.156856886764267
"24","Boston",0.0621470674690967,0.0757392546993514,0.0766553076105676,64637,0.0124851091480112,0.0187974057381554,0.0159759627716097,2067,2092,27291,513,436,0.0271671024335907,0.126491019075762,0.214774951076321,0.200896191187453,0.248185776487663,0.208413001912046
"25","Bournemouth",0.0716874397109395,0.0790783499647947,0.0735669021778717,183491,0.0216413884059709,0.0292932235899677,0.0250685896035157,6514,6060,82374,2413,2065,0.0460458551100599,0.1402139614477,0.328397077114428,0.301885358065987,0.370432913724286,0.340759075907591
"26","Bracknell Forest",0.0725586325692328,0.0936396529927198,0.0974541174419112,113205,0.0164922044079325,0.0272897685165003,0.0161515323248616,4296,4471,45878,1252,741,0.0340974338589285,0.150002208383022,0.227312879100171,0.227294862429998,0.291433891992551,0.165734734958622
"27","Bradford",0.0766520177930221,0.0920640655105973,0.0860177825947335,522452,0.0332719560840039,0.0378984023763648,0.0267742453436095,18348,17143,199296,7553,5336,0.0579421650218585,0.144583617250963,0.400751939421218,0.434064973655954,0.41165249618487,0.311264072799393
"28","Braintree",0.0682399173261538,0.0871680618580345,0.0884458496469702,147084,0.018452041010579,0.0389725275625379,0.0245236964107269,5321,5399,61043,2379,1497,0.0448043294987898,0.141123439667129,0.317483258659729,0.270399521769453,0.447096410449164,0.277273569179478
"29","Breckland",0.061483167421508,0.0774959188539775,0.0808892312771694,130491,0.00745645293545149,0.024138373777949,0.0167281131348704,4225,4410,54519,1316,912,0.0245304273857967,0.127656313462231,0.192159923160043,0.12127633054967,0.311479289940828,0.206802721088435
"30","Brent",0.0735697186832254,0.100003626933609,0.0813793228514952,311215,0.0258085246533747,0.0444118020419636,0.0283172841521136,11029,8975,110286,4898,3123,0.0515817039667111,0.137846826149125,0.374195804195804,0.350803633822502,0.44410191313809,0.347966573816156
"31","Brentwood",0.0649175962283121,0.0772042028323435,0.0796515042746199,73601,0.0165079278814147,0.0348822032239118,0.0201983945702539,2366,2441,30646,1069,619,0.03944239888045,0.130229208842271,0.302869066249348,0.254290498116367,0.451817413355875,0.253584596476854
"32","Bridgend",0.0675250398769921,0.085020934803042,0.0801674784243356,139178,0.0281150756585092,0.0282149876100145,0.0204733828932752,4975,4691,58515,1651,1198,0.048585264912558,0.136975671442326,0.354699958036089,0.416365184081719,0.331859296482412,0.255382647623108
"33","Brighton and Hove",0.0807809224893825,0.0860457462563765,0.0770034556524601,273369,0.0171672720754731,0.0309856837255225,0.0135510942899457,10458,9359,121540,3766,1647,0.0369683468132817,0.153272682710915,0.241193317422434,0.212516415342118,0.360107095046854,0.175980339779891
"34","Bristol, City of",0.0816072521098278,0.0936704843307961,0.0898619402780894,428234,0.0230668279492053,0.0285914406255643,0.0177732055792982,17118,16422,182747,5225,3248,0.0428527393901465,0.159928917367607,0.267948661789829,0.282656594271325,0.305234256338357,0.197783461210571
"35","Broadland",0.0594644031898336,0.0746025198740063,0.0758587070646468,124646,0.00693163037722831,0.0236050697465127,0.0149430028498575,3979,4046,53336,1259,797,0.0234263434045216,0.123846733950548,0.189155924078513,0.116567728008635,0.316411158582558,0.196984676223431
"36","Bromley",0.0686055230904484,0.084019807125063,0.0831945102474362,309392,0.0251784144386409,0.0393850009934129,0.0277391450535679,10995,10887,130862,5154,3630,0.05356958163107,0.139331333712572,0.384476199313353,0.36700273249788,0.468758526603001,0.333425186001653
"37","Broxbourne",0.0695232296039911,0.0878963301290562,0.0899144936002974,93609,0.030317597666891,0.0220935790535875,0.0147644590790801,3310,3386,37658,832,556,0.0451452317619032,0.141054813105577,0.320054528930627,0.436078672403196,0.251359516616314,0.16420555227407
"38","Burnley",0.0727093120757188,0.0907057256990679,0.0873501997336884,87059,0.0312431799124732,0.0272436750998668,0.0141411451398136,3406,3280,37550,1023,531,0.0490931437301141,0.149507805051747,0.328365089121082,0.429699842022117,0.300352319436289,0.161890243902439
"39","Bury",0.0709013292986059,0.0847106115499341,0.0821758222062909,185060,0.0307846103966281,0.0304686799892463,0.0130836096424411,6617,6419,78113,2380,1022,0.0491678374581217,0.141343348103318,0.347860993233169,0.434189467266214,0.359679613117727,0.159214830970556
"40","Caerphilly",0.0715580014093487,0.0873132023791941,0.087742853690302,178806,0.0133272932675637,0.022328441574135,0.0130238053679561,6503,6535,74479,1663,970,0.0280527499077212,0.144475017616858,0.19417024735803,0.186244626807347,0.255728125480547,0.148431522570773
"41","Calderdale",0.0707858663762229,0.0886245923652407,0.0890308166235994,203826,0.0306535966952204,0.036819715417339,0.0272734453459112,7854,7890,88621,3263,2417,0.0585205027817845,0.148028220148558,0.395333421715498,0.433046853340726,0.41545709192768,0.306337135614702
"42","Cambridge",0.0832102174106098,0.095324742047352,0.0848139743973969,123867,0.0221124270386786,0.0294130239328681,0.015605600034251,4453,3962,46714,1374,729,0.0390903146116399,0.151145987228237,0.258626215147954,0.265741728922092,0.308556029642937,0.183997980817769
"43","Camden",0.0795051239459376,0.0926856275760248,0.0663153361904567,220338,0.0279525093265801,0.0429798839379088,0.0242171960547091,9040,6468,97534,4192,2362,0.0576977189590538,0.149887899499859,0.384939138860292,0.351581230734102,0.463716814159292,0.365182436611008
"44","Cannock Chase",0.073197759126634,0.0825545937438521,0.0771935864646862,97462,0.0173913935687755,0.0110908912059807,0.00934487507377533,3357,3139,40664,451,380,0.0259177936016088,0.139849377193162,0.185326485693324,0.237594617325484,0.134346142389038,0.121057661675693
"45","Canterbury",0.0741407257931126,0.0797584374125817,0.0769116848496816,151145,0.0314664725925436,0.0245347287357457,0.0152868967106021,4847,4674,60771,1491,929,0.0474775877468656,0.137133216447782,0.346215081777392,0.424415491700875,0.307612956467918,0.198759092854086
"46","Cardiff",0.0830362044554885,0.0914862125325309,0.0859585990165337,346090,0.0334970672368459,0.0297424889693246,0.0211915233906437,13042,12254,142557,4240,3021,0.05447715912046,0.156127018983501,0.348928452455861,0.403403159579651,0.32510351173133,0.246531744736413
"47","Carlisle",0.0689799486626242,0.0824128087377436,0.0798891233296099,107524,0.0272869312897586,0.0168383600182036,0.0135906665011791,3984,3862,48342,814,657,0.0409675979316246,0.141949704252074,0.288606433859661,0.395577726843737,0.204317269076305,0.170119109269808
"48","Carmarthenshire",0.0643551695805242,0.0769640614494666,0.0797929695924089,183777,0.00608345984535606,0.018863616181862,0.0131170000887998,6067,6290,78829,1487,1034,0.019801172072675,0.131594269141405,0.150471386040357,0.0945294664750148,0.245096423273447,0.164387917329094
"49","Castle Point",0.0616627467021168,0.0718166849615807,0.0743413830954995,88011,0.0165092999738669,0.0327113062568606,0.0195389681668496,2617,2709,36440,1192,712,0.0381429594028019,0.122177909579484,0.312191946433553,0.267735397088631,0.455483377913642,0.262827611664821
"50","Central Bedfordshire",0.067501110538916,0.0847326123813446,0.0927020373758369,254381,0.0228712050035183,0.0238508031686127,0.0209293192463529,8846,9678,104399,2490,2185,0.0412491498972014,0.14032101454118,0.293962739879535,0.338827092190321,0.281483156228804,0.225769787146105
"51","Ceredigion",0.070954400569005,0.073981370001901,0.0748368290982828,75922,0.00659887779563236,0.0178379063430708,0.0128318864457259,2335,2362,31562,563,405,0.0193488053528621,0.132820526329654,0.145676318921063,0.093001670688695,0.241113490364026,0.171464860287892
"52","Charnwood",0.0716736905478627,0.0824914306332311,0.0836039449155091,166100,0.0255689343768814,0.0381111311564135,0.0173642431896085,5487,5561,66516,2535,1155,0.0477844671884407,0.138187838651415,0.345793578181501,0.356740865182696,0.462001093493712,0.207696457471678
"53","Chelmsford",0.068480779513992,0.082650322247262,0.0835689781388606,168310,0.0187332897629374,0.0369041296453127,0.0212726254898302,5758,5822,69667,2571,1482,0.0428138553858951,0.137282395579585,0.311867047520125,0.273555439875065,0.446509204584925,0.254551700446582
"54","Cheltenham",0.072711091141603,0.0846472540203028,0.0834102377820102,115732,0.0172381018214496,0.0267038426044101,0.0147263837891967,4311,4248,50929,1360,750,0.0354698786852383,0.146666436249266,0.24184046188288,0.237076648841355,0.315472048248666,0.176553672316384
"55","Cherwell",0.0703893760396989,0.0848610915244676,0.089497250035256,141868,0.0156201539459216,0.0245205189677055,0.0139966154280073,4814,5077,56728,1391,794,0.0310217949079426,0.140109115515832,0.221411681843337,0.221910674944923,0.288948899044454,0.1563915698247
"56","Cheshire East",0.0648885382584897,0.0785494320783236,0.0826199032871093,370127,0.0206631777741154,0.0283114129991658,0.0163195163101084,12524,13173,159441,4514,2602,0.0398890110691736,0.134316059082423,0.296978718268496,0.318441104217846,0.360427978281699,0.197525241023305
"57","Cheshire West and Chester",0.0662756971918157,0.0808246489727238,0.0810013998670833,329608,0.0207701269386665,0.0288033257448283,0.0164236931038871,11432,11457,141442,4074,2323,0.0401780296594743,0.135718793233174,0.296038807171279,0.313389791714351,0.356368089573128,0.202758139128917
"58","Chesterfield",0.0694492619570663,0.082400205145739,0.0807975040601761,103788,0.0306490153004201,0.0256218480211984,0.0180357295495341,3856,3781,46796,1199,844,0.0503333718734343,0.143031949743708,0.351902997642304,0.441315205327414,0.31094398340249,0.223221370007934
"59","Chichester",0.0607677030423397,0.0737843042850265,0.0816883325308939,113794,0.0135156510888096,0.0267412935323383,0.0152864708714492,3678,4072,49848,1333,762,0.0319261120972986,0.128873227059423,0.247732696897375,0.222415039768619,0.362425231103861,0.18713163064833
"60","Chiltern",0.0607329842931937,0.0791695988740324,0.0811183890001624,92635,0.0132347384897717,0.0240350782222703,0.0131813998809073,2925,2997,36946,888,487,0.0280779403033411,0.124661305122254,0.225233806719778,0.217916814788482,0.303589743589744,0.162495829162496
"61","Chorley",0.0685642293873361,0.0823704891026069,0.0870010463278345,107155,0.0303112313937754,0.0238651795454039,0.01353547496605,3700,3908,44919,1072,608,0.0459894545284868,0.139564182725958,0.329521899030425,0.442085204845515,0.28972972972973,0.155578300921187
"62","City of London",0.0690169491525424,0.0802736602052452,0.0449258836944128,7375,0.0227796610169492,0.0408209806157355,0.0173318129988598,352,197,4385,179,76,0.0573559322033898,0.143457627118644,0.399810964083176,0.330058939096267,0.508522727272727,0.385786802030457
"63","City of York",0.072400543294404,0.0821404634239755,0.0813984105706626,198051,0.0132794078292965,0.032303236307928,0.0159421677518192,6863,6801,83552,2699,1332,0.0336327511600547,0.141392873552772,0.237867371353069,0.183415858846503,0.393268250036427,0.19585355094839
"64","Colchester",0.0737719125923016,0.0838707876148198,0.0825306418739705,173074,0.0194656620867375,0.0371052851997655,0.0209258173493034,6008,5912,71634,2658,1499,0.0434842899568971,0.142644186879601,0.304844458846403,0.263862781954887,0.442410119840213,0.253552097428958
"65","Conwy",0.0626930954281945,0.0719854622193564,0.0747601461594075,115228,0.0145624327420419,0.0237411337124099,0.0242296344060809,3684,3826,51177,1215,1240,0.0358680181900233,0.127868226472732,0.280507669336229,0.232281284606866,0.329804560260586,0.324098274960795
"66","Copeland",0.065677095874113,0.0809863767356563,0.0833769976421273,70603,0.026344489610923,0.0184700026198585,0.0146057112915903,2473,2546,30536,564,446,0.0406498307437361,0.13676472671133,0.297224523612262,0.401121414707785,0.2280630812778,0.175176747839749
"67","Corby",0.0778875193861726,0.089311917509419,0.085504659924648,61255,0.030593420945229,0.0197501487209994,0.0153083482054333,2252,2156,25215,498,386,0.0450248959268631,0.149848991919027,0.300468460616625,0.392789771536366,0.22113676731794,0.179035250463822
"68","Cornwall",0.0625167911954955,0.0778075342138731,0.0820091236994822,532273,0.00947821888391859,0.0405314489841095,0.00736580305483335,17926,18894,230389,9338,1697,0.0302100613782777,0.131691819799238,0.229399680438256,0.151610770525304,0.52091933504407,0.0898168730814015
"69","Cotswold",0.061377155198417,0.0783750965890275,0.083949663318247,82881,0.0151059953427203,0.0242576443316039,0.0145987415829562,2840,3042,36236,879,529,0.0320942073575367,0.132346376129632,0.242501595405233,0.246117554550816,0.309507042253521,0.173898750821828
"70","County Durham",0.0688603037163755,0.0848469412831821,0.0882517213799636,513242,0.0156144664700083,0.0440163894139042,0.0148925617619067,18989,19751,223803,9851,3333,0.0413021537598248,0.144341265913546,0.286142382765044,0.226755701431724,0.518774027068303,0.168750949319022
"71","Coventry",0.0755584300858152,0.0941971506781137,0.0879137115839243,316960,0.0204568399798082,0.0364252830658206,0.0216343162871718,12113,11305,128592,4684,2782,0.0440118626956083,0.149441569914185,0.294508835265058,0.270741993402647,0.386691983819037,0.246085802742149
"72","Crawley",0.0745142921470585,0.0972921103751726,0.0999836169167037,106597,0.0158353424580429,0.0327427621878437,0.0161958480586046,4157,4272,42727,1399,692,0.0354512791166731,0.153587812039738,0.230820913755192,0.212514163414327,0.336540774597065,0.161985018726592
"73","Croydon",0.0732735608649946,0.0953934211433694,0.0856492655678919,363378,0.0265591202549411,0.0431832287428453,0.0292945314116268,13833,12420,145010,6262,4248,0.0554821700818431,0.145520642416437,0.381266665405927,0.362465259520769,0.452685606882094,0.342028985507246
"74","Cwm Taf",0.0730802286400284,0.0899077682829408,0.0891492572240109,293212,0.0296645430609934,0.0300338102269885,0.0218515739104473,11142,11048,123927,3722,2708,0.0515940684555884,0.148759259511889,0.346829290659819,0.405917491133097,0.334051337282355,0.245112237509051
"75","Dacorum",0.0691143068203,0.0899763088524809,0.0946978544495979,144847,0.0306323223815474,0.0214054523007107,0.0153491941673062,5393,5676,59938,1283,920,0.0458414741071613,0.145532872617313,0.314990512333966,0.443212466287084,0.237900982755424,0.162085976039464
"76","Darlington",0.0725815618961009,0.084529676451682,0.0788943646882366,105564,0.0162555416619302,0.043668309406471,0.0130062138418684,3945,3682,46670,2038,607,0.0413114319275511,0.144831571369027,0.285237752632612,0.223962411902897,0.51660329531052,0.164856056491037
"77","Dartford and Gravesham",0.074922771680438,0.0890177861685215,0.0907069753577106,199085,0.0331365999447472,0.0258222376788553,0.0170285174880763,7167,7303,80512,2079,1371,0.050465881407439,0.147605294221061,0.341897502211938,0.442276749798874,0.290079531184596,0.187731069423525
"78","Daventry and South Northamptonshire",0.0663673389273271,0.0810228437104454,0.0864324031101199,163032,0.0259642278816429,0.0176300403833404,0.0149629317099632,5377,5736,66364,1170,993,0.0392315619019579,0.134531871043721,0.291615374093831,0.391219963031423,0.217593453598661,0.173117154811715
"79","Denbighshire",0.0641282778927604,0.0767030039954619,0.0715237014748681,93734,0.0147865235666887,0.0249593054801953,0.0231588812706556,3110,2900,40546,1012,939,0.0356007425267246,0.128245887298099,0.277597537642459,0.230577274995841,0.32540192926045,0.323793103448276
"80","Derby",0.0757662249951759,0.0865934624673661,0.0819587175250071,248752,0.032502251238181,0.0273489063370848,0.0186856489131816,8856,8382,102271,2797,1911,0.0514287322312986,0.145064160288158,0.354524040460025,0.428980739640261,0.315831074977416,0.227988546886185
"81","Derbyshire Dales",0.0556836717475674,0.0742583918813427,0.0827153265677856,71116,0.0245795601552393,0.0229638303408795,0.0185727296383034,2283,2543,30744,706,571,0.0425361381405028,0.123544631306598,0.344297746414751,0.441414141414141,0.309242225142357,0.224537947306331
"82","Doncaster",0.070270699267862,0.0816131302031039,0.079122755698214,302402,0.0218252524784889,0.0309834212211532,0.0225082419537186,10323,10008,126487,3919,2847,0.0441994431253762,0.137502397470916,0.321444890695269,0.310588235294118,0.379637702218347,0.28447242206235
"83","Dorset",0.0580060788801298,0.0733187949814941,0.0778023782967932,412905,0.0177619549290999,0.0268848529240399,0.0254698606648799,13213,14021,180213,4845,4590,0.0406122473692496,0.123963139220886,0.327615512357136,0.306208509039289,0.366684326042534,0.327366093716568
"84","Dover",0.0685746010709744,0.0788863589318982,0.0812875181121921,111674,0.030168168060605,0.0234941006002898,0.0164148209480439,3811,3927,48310,1135,793,0.0474327059118506,0.137865573007146,0.344050402702,0.439932097153304,0.297822093938599,0.201935319582378
"85","Dudley",0.0669968842374371,0.0818914735845134,0.080189732572555,312925,0.0187968363026284,0.0314475578861451,0.0199126798955855,10635,10414,129867,4084,2586,0.0401118478868739,0.134262203403371,0.298757557004808,0.280562842833294,0.384015044663846,0.248319569809871
"86","Ealing",0.0743332082529421,0.0989990490159733,0.0846778743089247,338449,0.0265741662702505,0.0443255266678487,0.02912590061411,12284,10507,124082,5500,3614,0.0535028911298305,0.141672748331359,0.377651254457861,0.357500596231815,0.447736893520026,0.343961168744646
"87","East and Mid Devon",0.0578905555000547,0.072526108310011,0.0785046118328633,210207,0.00881036311825962,0.0383865663352536,0.00729617005521132,6660,7209,91829,3525,670,0.0287668821685291,0.123868377361363,0.232237499039865,0.152189990960638,0.529279279279279,0.0929393813288944
"88","East Cambridgeshire",0.0660001431673388,0.082625527243312,0.088114635696539,83818,0.0174306234937603,0.025278788929335,0.015947304558849,2860,3050,34614,875,552,0.0344556061943735,0.136510057505548,0.25240342597448,0.26409978308026,0.305944055944056,0.180983606557377
"89","East Hampshire",0.0634471662860702,0.0811502814338313,0.0853612086842439,115608,0.0158293543699398,0.0282491853231199,0.0177536078547548,3835,4034,47258,1335,839,0.0346342813646114,0.131513390076811,0.263351749539595,0.249488752556237,0.348109517601043,0.207982151710461
"90","East Hertfordshire",0.0683506794395985,0.0825954009579865,0.0889230606076674,137687,0.0294653816264426,0.0203793060784418,0.0126729943263163,4673,5031,56577,1153,717,0.0430469107468388,0.138829373869719,0.310070625163484,0.431091276166189,0.24673657179542,0.142516398330352
"91","East Lindsey",0.0559013496968497,0.0704713417638364,0.0738873378223025,136401,0.0122286493500781,0.0179832484808671,0.0148464444079488,4291,4499,60890,1095,904,0.0268839671263407,0.120343692494923,0.223393237892172,0.218754098360656,0.255185271498485,0.200933540786842
"92","East Northamptonshire",0.0697285771912638,0.0809264763613931,0.0822724468622063,86765,0.0271653316429436,0.0166563849475632,0.0145252649879423,2886,2934,35662,594,518,0.0399815593845445,0.136806315910794,0.292249368155013,0.389586776859504,0.205821205821206,0.176550783912747
"93","East Riding of Yorkshire",0.0603957759164998,0.0760878684490184,0.0787655909167179,334179,0.0246364972065869,0.0269729850662789,0.0126754852061077,10883,11266,143032,3858,1813,0.0416064444504293,0.126674626472639,0.328451289804403,0.407917554377446,0.354497840668933,0.160926682052192
"94","East Staffordshire",0.0677478143736299,0.0864531967577406,0.0824744449852913,113583,0.016102761856968,0.01089924022772,0.00848659287634124,4085,3897,47251,515,401,0.0241673489870843,0.138022415326237,0.175097276264591,0.237686809616634,0.126070991432069,0.102899666410059
"95","Eastbourne",0.0681607854182594,0.0796898604816493,0.0773127166089043,99412,0.014143161791333,0.0285035101750644,0.0133742113214254,3587,3480,45012,1283,602,0.0331046553735967,0.139248782843118,0.237737484649281,0.207497048406139,0.357680512963479,0.172988505747126
"96","Eastleigh",0.0690660468534094,0.0836767157943155,0.0856507656630316,125199,0.0170448645755957,0.0284991471337946,0.0171339862391475,4366,4469,52177,1487,894,0.0360625883593319,0.139633703144594,0.258265644663082,0.246790794495201,0.340586349060925,0.200044752741105
"97","Eden",0.0606879232935089,0.0820205702382502,0.078678991450766,52564,0.0249219998478046,0.0172720565898538,0.0133229180228269,1890,1813,23043,398,307,0.0383342211399437,0.131135377825127,0.292325547657043,0.410658307210031,0.210582010582011,0.169332597904026
"98","Elmbridge",0.0635186246418338,0.080949321643173,0.0841427005782094,130875,0.0276905444126074,0.0253202826801708,0.0125656626733684,4284,4453,52922,1340,665,0.0430105062082139,0.130276981852913,0.330146627565982,0.435943702634428,0.312791783380019,0.149337525263867
"99","Enfield",0.0745073063949358,0.0985856766403149,0.0869775509523333,312466,0.0265468883014472,0.0437723072817639,0.0295039861236199,11822,10430,119916,5249,3538,0.0546683479162533,0.145721454494249,0.375156479915666,0.356299128044328,0.444002706817797,0.3392138063279
"100","Epping Forest",0.0658596651665744,0.080283125925641,0.0851685868708046,124659,0.0171588092315838,0.0348329518570522,0.0222153834317478,4174,4428,51991,1811,1155,0.0409517162820173,0.134863908743051,0.303652153223888,0.260535931790499,0.433876377575467,0.260840108401084
"101","Epsom and Ewell",0.0661633511757343,0.0812181036798281,0.0837698092935805,75102,0.0288540917685281,0.0265914585012087,0.0123220521085146,2419,2495,29784,792,367,0.0442864371121941,0.131594364996937,0.336537488616817,0.436103843831757,0.32740801984291,0.147094188376753
"102","Erewash",0.0703062963392546,0.0781442536761686,0.0796229360059147,112081,0.0315307679267672,0.0248090035324078,0.0170869958104001,3805,3877,48692,1208,832,0.0497318903293154,0.138846013151203,0.358180182495823,0.448477157360406,0.317477003942181,0.214598916688161
"103","Exeter",0.0802475949496064,0.0851711953210674,0.0804800779822103,117773,0.0123118201964797,0.0448194630599894,0.0078388367653629,4194,3963,49242,2207,386,0.0343287510719774,0.149507951737665,0.229611540208996,0.153422918209713,0.52622794468288,0.0974009588695433
"104","Fareham",0.06214319642233,0.0764507610725864,0.0863693939328882,111581,0.0157464084387127,0.0284033577363189,0.0170677773245454,3561,4023,46579,1323,795,0.0347281347182764,0.130111757378048,0.266910042705607,0.253389097202192,0.371524852569503,0.197613721103654
"105","Fenland",0.0623648464235477,0.0767355982274742,0.0787050713934023,95262,0.0170267262917008,0.022575086164451,0.0144756277695716,3117,3197,40620,917,588,0.0328252608595243,0.128645210052277,0.25516115871073,0.273018010435954,0.294193134424126,0.183922427275571
"106","Flintshire",0.0699513461765439,0.0787381822172747,0.0804471551088882,152506,0.016163298493174,0.0266693842993995,0.0259952023329832,5022,5131,63781,1701,1658,0.0381886614297142,0.136525776035041,0.279717592814946,0.231064866891639,0.338709677419355,0.323133892028844
