"","PFA17CD","violence_syn","property_syn","damage_syn","pop","violence_syn_pol","property_syn_pol","damage_syn_pol","HHproperty_syn","HHdamage_syn","HHpop","HHproperty_syn_pol","HHdamage_syn_pol","all_syn_pol","all_syn","all_ME","violence_ME","property_ME","damage_ME"
"24","E23000024",0.0640305028162184,0.0786836341158606,0.0801806038942715,857888,0.00747067216233354,0.0242847736404316,0.016367227918352,29277,29834,372085,9036,6090,0.025102344361968,0.132933436532508,0.188833938373582,0.116673645118421,0.308638180141408,0.204129516658846
"25","E23000025",0.0652971930735289,0.0798983089027981,0.0834607153775604,728163,0.0193843960761533,0.0357302611465993,0.0255579333537145,24828,25935,310745,11103,7942,0.0455392542603785,0.135010979684494,0.337300376360492,0.296864155467222,0.44719671338811,0.306227106227106
"26","E23000026",0.0717034570554791,0.0880067957641936,0.0888356480717844,615061,0.0235635164642206,0.0248903110876522,0.0206099693200937,21342,21543,242504,6036,4998,0.0415032004955606,0.141428248580222,0.293457643096095,0.328624552174505,0.282822603317402,0.232001114050968
"27","E23000027",0.0702048810908355,0.0885709437945251,0.0922508411981041,1116062,0.0305843223763554,0.0214425638528305,0.0147901026184563,40195,41865,453817,9731,6712,0.0453173748411827,0.143731262241703,0.315292401488657,0.435643817084221,0.242094787908944,0.160324853696405
"28","E23000028",0.0688309806081336,0.0819765661963207,0.0841195624947817,1724950,0.0182324125336966,0.036500514875734,0.02177089421391,58910,60450,718620,26230,15645,0.0425084785066234,0.13802718919389,0.307971775379058,0.264886717762992,0.445255474452555,0.258808933002481
"29","E23000029",0.0712895392136303,0.0874974963836653,0.0890464003560699,2269772,0.0157632572787046,0.0254133748748192,0.0147913653054412,78634,80026,898700,22839,13293,0.0316820367860737,0.14119083326431,0.224391598615787,0.221115993350267,0.290446880484269,0.166108514732712
"30","E23000030",0.0692469036997541,0.0837183222667473,0.0853257829092759,1897991,0.0170601441208098,0.0292722380155582,0.0175428381932649,66143,67413,790066,23127,13860,0.0365475916376843,0.13961393915988,0.261776093831372,0.246366887316442,0.349651512631722,0.205598326732233
"31","E23000031",0.0661609516156095,0.0816931444455902,0.0831016847634113,1132390,0.0289652858114254,0.0266657305651055,0.0126988027407299,37235,37877,455791,12154,5788,0.0448096503854679,0.132491456123774,0.338207848992215,0.437800320341698,0.326413320800322,0.152810412651477
"32","E23000032",0.0706873149597868,0.0835038990120068,0.0852514655536934,1727665,0.0308983512428625,0.0249393479216742,0.0161930864357088,59442,60686,711847,17753,11527,0.0478460812715428,0.140219313350679,0.341223189075838,0.437113098162523,0.298660879512802,0.189944962594338
"33","E23000033",0.0665267727570302,0.0791192159746173,0.0793409426099943,1606932,0.0142781399586292,0.0282708612577765,0.0137413294156859,55309,55464,699059,19763,9606,0.0325545822723052,0.135461239181247,0.240323966243563,0.214622465015341,0.357319785206748,0.17319342276071
"34","E23000034",0.0690169491525424,0.0802736602052452,0.0449258836944128,7375,0.0227796610169492,0.0408209806157355,0.0173318129988598,352,197,4385,179,76,0.0573559322033898,0.143457627118644,0.399810964083176,0.330058939096267,0.508522727272727,0.385786802030457
"35","E23000035",0.0647055720535326,0.0785891388946187,0.0810132084796751,1668218,0.00979967845929009,0.0412396395598189,0.00753524314760798,56768,58519,722339,29789,5443,0.0309192203896613,0.13381344644405,0.231062133225821,0.151450302474454,0.524749859075536,0.0930125258463063
"36","E23000036",0.0700594852943475,0.0836416225832676,0.0858580652002309,1599555,0.0200930883902085,0.0254795174193244,0.0168361275728407,56794,58299,679016,17301,11432,0.0380562093832347,0.142012622260566,0.26797765422153,0.286800399771559,0.304627249357326,0.196092557333745
"37","E23000037",0.0673736649558447,0.0806001217524498,0.0821475561141331,596984,0.0160640821194538,0.0252891620682206,0.0147084814327514,20522,20916,254615,6439,3745,0.0331231657799874,0.136785910510164,0.242153345007899,0.238432659555953,0.313760842023195,0.17904953145917
"38","E23000038",0.0688537750482623,0.0831982559086051,0.0860543471336453,680137,0.0294925875228079,0.0404205921699923,0.00990961019840455,23508,24315,282554,11421,2800,0.0504016102638145,0.139167550067119,0.362164960434429,0.428336536408285,0.48583460949464,0.115155253958462
"39","E23000039",0.0626430532726019,0.0753226602722336,0.0766013424629811,744041,0.0190997539114108,0.0276158556591653,0.0254295237598776,24564,24981,326117,9006,8293,0.0423498167439698,0.12923212564899,0.327703475674439,0.304898195627454,0.366634098680997,0.3319722989472
"40","W15000001",0.0675483365482595,0.0780209742895805,0.0799255751014885,687937,0.0158066799721486,0.0259810554803789,0.0257002706359946,23063,23626,295600,7680,7597,0.0380136553201819,0.135416469822091,0.280716631958608,0.234005466009598,0.333000910549365,0.321552526877169
"41","W15000002",0.0699431646767946,0.0870301123447435,0.0878125720686588,576754,0.0133731192154714,0.0224360030310019,0.0127623299179653,21133,21323,242824,5448,3099,0.0281922622123124,0.143555137892412,0.196386298855017,0.191199801685672,0.25779586428808,0.145336022135722
"42","W15000003",0.0744540377407878,0.0879434507018883,0.0846211425642614,1283651,0.0303579399696647,0.0291448651718124,0.0210529615003116,47700,45898,542394,15808,11419,0.0515685338148765,0.147369495291166,0.349926785818122,0.407740679899135,0.331404612159329,0.248790796984618
"43","W15000004",0.0636344576152075,0.076147806254451,0.0796770907517421,515114,0.00594431523895681,0.0189851166061174,0.0130759314516493,16894,17677,221858,4212,2901,0.0197529090647895,0.130747756807231,0.151076466221232,0.0934134659385582,0.249319284953238,0.16411155739096
