"","PFA17NM","n","Individuals_2011.16over","Households_2011","violence","robbery","robbery.noattempt","theft.from.person","theft.from.person.noattempt","vehicle.theft","bicycle.theft","burglary","burglary.notaken","damage.property","damage.property.noarson","damage.vehicle","violence.rp","robbery.rp","robbery.noattempt.rp","theft.from.person.rp","theft.from.person.noattempt.rp","vehicle.theft.rp","bicycle.theft.rp","burglary.rp","burglary.notaken.rp","damage.property.rp","damage.property.noarson.rp","damage.vehicle.rp","violence.prc","robbery.prc","theft.from.person.prc","vehicle.theft.prc","bicycle.theft.prc","burglary.prc","damage.property.prc","damage.vehicle.prc","violence.combined.prc","theft.combined.prc","damage.combined.prc","violence.combined","theft.combined","damage.combined","violence.combined.rp","theft.combined.rp","damage.combined.rp","violence.ratio","theft.ratio","damage.ratio"
"11","Dyfed-Powys",948,425900,221858,22162.9558244384,3960.35825009865,3960.35825009865,842.635847398432,842.635847398432,3068.95421989792,1402.91814531391,1404.10132957354,1150.2911291189,3953.77511969328,3229.13680422609,6871.32879130661,10766.1901804032,3960.35825009865,3960.35825009865,401.078979790913,401.078979790913,1514.34886349869,915.677633335473,1404.10132957354,1150.2911291189,2607.67856084312,1435.768489398,2273.22049402441,3104,31,66,1177,212,562,740,1664,3135,2017,2404,26123.314074537,6718.6095421838,10825.1039109999,14726.5484305019,4235.20680619861,4880.89905486753,0.212880839987375,0.476245929017666,0.492532210352227
"12","Essex",1005,1397749,718620,46618.6042619364,10463.8728243975,7958.39088235748,17910.0200047617,10463.0253472704,26044.4396989086,15069.6192714128,11666.5837940421,9722.90007923372,27342.1675050769,24567.9730955128,37371.6836704979,19693.9751414904,7958.39088235748,7958.39088235748,2232.10057064919,2232.10057064919,8790.07446432111,8466.2261925738,8830.73461133444,8186.52610680856,6943.32633938804,3410.91951474247,6907.09995048149,15595,1052,1583,12889,2915,7023,3385,7220,16647,24410,10605,57082.4770863339,70690.6627691252,64713.8511755748,27652.3660238479,28319.1358388785,13850.4262898695,0.602009968537352,0.861961330277889,0.765680404202194
"13","Gloucestershire",923,490233,254615,32088.0053229364,563.394319005586,563.394319005586,3359.10491555937,2523.27237832391,10918.2972445397,5445.81846336248,6169.58967104427,5108.43461784096,9618.53299289681,9318.10154308138,12618.3141582753,8011.59993879777,563.394319005586,563.394319005586,1395.37660074243,1395.37660074243,6146.89640821159,2650.15322672915,4129.69382189968,3397.09634623423,3811.80469805706,3811.80469805706,3365.98699431647,4405,234,451,3970,1234,3017,1150,2712,4639,8672,3862,32651.3996419419,25892.8102945059,22236.8471511721,8574.99425780335,14322.1200575829,7177.79169237352,0.540991615916063,0.60549694913419,0.538048492561217
"14","Greater Manchester",1412,2148505,1128066,44345.7087230405,9118.23481723249,1459.34583675376,22899.9300560806,18148.4886285524,55670.4766599866,21678.3096204538,44766.2247676081,31670.2288988402,37063.3766519778,36110.4284059703,94008.7618935906,25748.647811893,5108.05501592466,1459.34583675376,10097.4485886221,10097.4485886221,24774.7512750527,8610.5597199427,25005.7756351293,17516.0002048983,23067.0067439473,22243.3747899527,29115.4541567922,26807,3564,4660,21377,5372,15735,10620,13676,30371,47144,24296,53463.943540273,145014.941104129,131072.138545568,30856.7028278177,68488.5352187469,52182.4609007395,0.984259406115815,0.688348784937886,0.465597052737996
"15","Gwent",961,466407,242824,22812.7324190141,2252.01883427526,0,4263.18069349567,3346.16489862432,13915.8183163618,4504.24076416164,6956.11115399579,6512.96876227799,6192.38021804249,6192.38021804249,21532.5558681615,10047.0965500284,323.561491699881,0,999.335174389938,999.335174389938,5412.29516747129,2776.7965155259,5338.53327446518,4586.79236008068,3320.85800837475,3320.85800837475,9108.30138019555,4429,104,184,4526,581,2011,1888,3426,4533,7302,5314,25064.7512532893,29639.3509280149,27724.936086204,10370.6580417283,14526.9601318523,12429.1593885703,0.437098589285331,0.502651616974523,0.427542992560437
"16","Hampshire",1007,1549762,790066,72512.1182623175,2655.07904660299,0,9044.3013687668,8263.63557143741,22969.354690859,15620.5611128393,18439.0151009931,14031.531310699,19242.8287047628,18342.4468106207,46536.3118783851,41553.9674494448,0,0,5631.29825970924,5631.29825970924,6593.21027142428,10074.4648853782,10689.9015717605,8137.56369654895,5120.87831269582,4220.49641855369,16964.0864730827,22471,876,1806,10492,4889,4997,4208,9528,23347,22184,13736,75167.1973089205,66073.2322734582,65779.1405831479,41553.9674494448,32988.8749882722,22084.9647857785,0.561847675036188,0.672469128088987,0.62196159845567
"17","Hertfordshire",994,892538,453817,22836.9778967536,6229.49805814413,0,15399.1219278478,7666.75631229838,22500.1623192353,10278.8079524643,12338.5965528339,8961.59235769342,16147.580597572,16197.448141722,24088.243597235,5035.14362620596,0,0,5774.84731752969,5774.84731752969,10406.3046064269,4949.81479083771,7270.82365505756,5891.95781166706,7429.26544453802,6482.26400975171,6444.26941769684,7667,520,1427,7087,1676,3315,2028,4745,8187,13505,6773,29066.4759548977,60516.6887523813,40235.824194807,5035.14362620596,28401.7903698518,13873.5348622349,1.62597149312482,0.475498193041218,0.48819569541983
"18","Humberside",1033,751855,396019,29246.9571704829,1201.27361376623,0,5881.53134217861,3197.24459871016,14166.2088182748,9890.16479977467,9593.28811201466,7512.33876126312,16365.2730280104,17388.6486268161,26946.8215331942,10777.9461345582,422.719101870257,0,2628.53805410248,2628.53805410248,7482.95902221749,3470.68428274689,6461.25888317406,4817.72271888729,7400.36000754771,8544.43773200445,10202.8235452573,9900,457,672,5873,2452,4336,3842,4893,10357,13333,8735,30448.2307842492,39531.1930722428,43312.0945612046,11200.6652364285,20043.4402422409,17603.183552805,0.924677220627522,0.665205166321754,0.496217060612772
"19","Kent",1015,1390697,711847,37750.7192480653,2591.74508193996,0,8037.4489625811,5066.24902206381,30610.511728734,11958.5755442081,13320.8919535202,13320.8919535202,22231.8519629182,22231.8519629182,53569.7352284733,14424.6142282624,1379.86469245217,0,1989.36031791603,1989.36031791603,14937.42920595,5863.16372782847,7970.49229310583,7970.49229310583,9296.81456925602,9296.81456925602,13172.8580337552,16184,842,837,9579,2031,5140,4203,8655,17026,17587,12858,40342.4643300053,63927.4281890433,75801.5871913915,15804.4789207145,30760.4455448004,22469.6726030112,1.07728955098193,0.571740743299241,0.57223797725815
"20","Lancashire",1014,1186777,618019,46983.5419332231,7656.98830759426,3855.35703046499,8902.59689784955,4823.30200125201,28008.4765436316,13130.0078652684,18197.2714467153,16324.548426502,18399.1411370824,18995.9204450861,57134.1207399145,10300.6810881108,3855.35703046499,3855.35703046499,2862.29815150156,2862.29815150156,11554.2858188396,5518.67005587156,9639.66321490124,8449.95643883155,7938.51832557842,7387.99476416787,21506.8478170635,15411,588,944,8584,2614,4279,5686,7741,15999,16421,13427,54640.5302408173,68238.3527534648,75533.2618769969,14156.0381185758,29574.917241114,29445.3661426419,1.13018910135639,0.555234013543481,0.455997046698476
"21","Leicestershire",1009,824351,405561,18350.3461401732,3786.39621668348,2520.12397589381,5589.83138556127,2251.27580184126,15146.6637630162,9693.43824914706,8156.90982092513,6945.93363115431,12374.0587602115,11994.993852864,26693.2569043418,9926.25061542686,2923.05818545998,2520.12397589381,759.599209204092,759.599209204092,4886.51082681108,5035.7004354985,6435.68217746413,5618.03326665886,3220.50371568261,3187.34202609706,8395.17274712449,9631,848,1432,6753,2556,4233,2673,4588,10479,14974,7261,22136.7423568567,38586.8432186497,39067.3156645532,12849.3088008868,17117.4926489778,11615.6764628071,0.815530248543545,0.874777650387611,0.625103498986857
"22","Lincolnshire",983,591775,306971,40370.9243075891,2926.45643614262,534.663520215915,6948.51731717481,2809.51935237863,11047.3190146544,6593.48982615393,10263.28493497,6979.26188150278,10074.9261661487,10074.9261661487,15331.9878879783,11147.5562134433,898.658980301749,534.663520215915,2500.28089428143,2500.28089428143,5805.40655678275,3309.04742968408,5498.76332784275,4530.70154066426,4469.22130836022,4469.22130836022,3423.23043925775,5568,168,402,3751,1864,2182,1831,2963,5736,8199,4794,43297.3807437317,34852.6110929532,25406.9140541269,12046.2151937451,17113.498208591,7892.45174761797,0.476166157398415,0.479095501110585,0.607415813653455
"23","London, City of",5,6755,4385,0,0,0,0,0,805.798989802306,0,919.891694253539,919.891694253539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,43,324,194,459,32,8,79,497,1009,87,0,1725.69068405585,0,0,0,0,Inf,Inf,Inf
"24","Merseyside",1021,1135845,602087,33965.6917978001,3981.95180922969,2069.51117451028,12470.0077673257,7306.79466792805,17312.8683107328,8044.53720954805,23261.4695721645,17582.8710532191,12581.3230116878,13226.0956885146,27038.9034540243,16006.5682819119,2069.51117451028,2069.51117451028,3604.1608520952,3604.1608520952,9790.134555152,4158.44588085492,18328.7199693201,13915.6037115126,6901.73076633258,7546.50344315931,3165.87963719829,8419,984,2401,8612,1895,7441,6921,6760,9403,20349,13681,37947.6436070298,61088.882859771,39620.2264657122,18076.0794564222,35881.4612574223,10067.6104035309,0.520190233876142,0.567117371670328,1.35891233884079
"25","Metropolitan Police",4023,6542418,3261788,201587.12870194,81123.0645592001,47293.3236234603,217242.96775762,159461.894233897,209806.002526625,71279.7397241374,128237.731275264,103041.14711648,68754.0638441497,67153.9281627388,160208.193624222,101744.400526215,56390.8880038899,47293.3236234603,68662.6426695504,68662.6426695504,83057.7821850171,26178.5276446997,85013.453681285,70976.2077875688,21765.0542475335,20251.4147850918,26243.6764066873,98303,36134,42056,104035,23121,63791,18248,30237,134437,233003,48485,282710.19326114,626566.441283647,228962.257468372,158135.288530105,262912.406180552,48008.7306542208,0.850139151416585,0.886238133015251,1.00992047361572
"26","Norfolk",985,712903,372085,50344.5738171993,881.306902504615,0,3765.82760402943,3450.47236364983,6078.42027300193,5802.89955507146,3924.49461352227,2218.97018608554,12465.8229513288,12465.8229513288,14026.8657700419,29081.7495113241,0,0,990.224740181241,990.224740181241,3850.49875644222,2864.83753537776,3195.53592069201,1490.01149325528,5300.58473705956,5300.58473705956,3482.39647926799,7453,200,420,3057,1513,1462,1834,3476,7653,6452,5310,51225.8807197039,19571.6420456251,26492.6887213707,29081.7495113241,10901.0969526932,8782.98121632755,0.263154732043201,0.591867041271105,0.604578316771157
"27","North Wales",924,564584,295600,23312.8164344366,336.987510052482,336.987510052482,2076.90927008047,1398.50477025378,9832.14344141624,4500.44969573807,5067.01904348134,4022.61523971111,4653.5867562874,3259.23028941293,11905.3161411218,13756.0395842242,336.987510052482,336.987510052482,1398.50477025378,1398.50477025378,2823.50450632086,1801.19592010208,2915.08108026429,2597.93515605541,2129.79658558571,1100.92284200482,3640.65408246978,7277,148,169,2954,777,1890,1947,3489,7425,5790,5436,23649.8039444891,21476.5214507161,16558.9028974092,14093.0270942767,8938.28627694101,5770.45066805549,0.526856292145734,0.647775179783292,0.942040806291445
"28","North Yorkshire",1003,660946,340146,42902.834221604,378.38517631215,378.38517631215,2786.49350594249,2465.22321426902,5467.42868748713,6580.59886420656,5320.57753237294,3408.51790972059,8256.84436226191,8565.71810051945,17460.441870607,12672.4725288725,378.38517631215,378.38517631215,0,0,3454.60716523342,2350.92506730069,4009.66996608828,3069.3721569512,2242.88756009456,2242.88756009456,5134.84908136166,5361,147,623,3291,1472,1898,1333,2945,5508,7284,4278,43281.2193979161,20155.0985900091,25717.2862328689,13050.8577051847,9815.2021986224,7377.73664145623,0.422041227053748,0.742114105506898,0.579852630678289
"29","Northamptonshire",1027,554081,287730,27030.6469919108,2498.60965341522,310.875174581431,9092.92035318362,4542.44528519869,16725.8672705763,7629.38450312525,16272.7847517334,15165.1695713319,10668.9468099041,11007.4600258445,22707.2555072478,9121.95770952341,656.010026478683,310.875174581431,2580.30315369832,2580.30315369832,5589.04156586402,1918.49131422745,12715.9165745333,12133.8057702501,4089.61471835885,3900.02806907105,6902.31003024166,7975,620,795,5117,1355,2510,2247,3810,8595,9777,6057,29529.2566453261,49720.9568786185,33376.2023171519,9777.9677360021,22803.7526083231,10991.9247486005,0.879017013765912,0.428745223118738,0.551040890338262
"30","Northumbria",1036,1173683,623061,44343.3314852663,10217.9616290335,4878.32138596307,15410.495047185,14740.5388861061,20026.6401295287,11650.9081264413,24701.261433823,14705.0118010325,25399.5185626724,25156.2571971224,34963.6808114324,35038.0145767318,10217.9616290335,4878.32138596307,9211.75457294715,9211.75457294715,12123.5740526675,6360.22354843178,19568.7606966827,10155.5285856794,5492.94059958011,5492.94059958011,9239.25406430025,8321,435,950,6349,2086,3555,4481,6546,8756,12940,11027,54561.2931142997,71789.3047369781,60363.1993741048,45255.9762057653,47264.3128707291,14732.1946638804,0.193477209732238,0.273779501151148,0.74849676179174
"31","Nottinghamshire",1021,893584,460434,43224.3297775866,3356.56209564663,2442.73016046034,6769.19776164649,6426.92925093038,14861.8428824429,7912.8337876418,11180.2212158915,7567.33908040335,20914.6160451217,19490.1558015683,22123.4634250807,16697.2664210305,2442.73016046034,2442.73016046034,4151.39400688089,4151.39400688089,7970.13940124985,4153.6504553171,8966.22124297562,6168.20639910979,10150.3601541843,9674.36386642859,8333.68162850276,11283,1033,1754,7837,2468,4401,3983,5237,12316,16460,9220,46580.8918732332,40724.0956476227,43038.0794702024,19139.9965814908,25241.4051064235,18484.041782687,0.643469289430809,0.652103158702969,0.498808653886287
"32","South Wales",917,1050269,542394,23362.4232064308,0,0,13318.2662179907,3367.83331997105,28636.2722370907,8520.99235960682,15813.7360247628,13658.8572252991,9369.93357409398,8865.72524241117,28643.7512885072,11116.3555962982,0,0,1130.03312206473,1130.03312206473,11628.9531722729,6166.37697362836,10445.8958821712,8291.01708270754,3345.29690173486,2841.08857005205,11936.9974359473,9979,450,2072,10086,2139,4364,4092,7215,10429,18661,11307,23362.4232064308,66289.2668394511,38013.6848626012,11116.3555962982,29371.2591501373,15282.2943376822,0.93816718165015,0.635348995581376,0.739875816428942
"33","South Yorkshire",982,1093276,565442,39584.8385241794,4486.05758374884,4486.05758374884,13877.3916576622,9931.52587625462,24849.2749127174,9278.62236512233,19377.4141033207,16929.9293589299,12399.6167712026,12411.6208739495,31681.9163292264,9842.91776645674,4486.05758374884,4486.05758374884,5126.80489889147,5126.80489889147,12840.1272586814,2428.48754721943,12047.7446568633,10743.3460192509,3791.65884064632,3304.83523553083,12381.8252904074,9167,767,1347,12331,1973,7654,6212,7084,9934,23305,13296,44070.8961079283,67382.7030388226,44081.5331004289,14328.9753502056,32443.1643616556,16173.4841310537,0.693280556160456,0.718333136071771,0.822086316854336
"34","Staffordshire",1015,899065,462838,58849.2006529494,398.803881737529,0,5860.25111656151,5014.80989194829,22131.5493133057,3878.91053466745,30830.6738941424,29484.5142185086,29539.9587713969,29884.5854396212,27745.1089545681,20064.8110628091,0,0,3753.4137285263,3753.4137285263,9646.94246378441,816.431852411652,26672.2770031602,25804.6699627597,18797.065256236,18797.065256236,6186.98254435893,10603,398,631,5181,1317,3103,3204,5232,11001,10232,8436,59248.0045346869,62701.3848586771,57285.067725965,20064.8110628091,40889.0650478825,24984.0478005949,0.548273291264168,0.250238052350132,0.337655453885224
"35","Suffolk",1025,595261,310745,22311.1649944458,1966.31781884786,0,5398.35530646613,1274.43555778654,9544.07762721358,4822.25299780076,2334.30567252389,1691.61473975577,4624.1158443467,4346.28308309671,15838.6282655487,9852.48442120571,815.440691706629,0,559.170038699349,0,4275.17882726739,3017.08107805015,1780.92133484774,1417.55984291322,2038.58543814313,1760.75267689314,3525.02982511181,6877,304,457,4088,1702,1967,1636,3517,7181,8214,5153,24277.4828132937,22098.9916040043,20462.7441098954,10667.9251129123,9632.35127886463,5563.61526325494,0.673139333468717,0.852751292202477,0.926196323105435
"36","Surrey",991,913899,455791,22898.383066396,4354.03581025197,1491.00662978228,12335.8505462958,6369.53872937965,16676.9859845326,9280.7563059592,9366.17953824769,7015.46734084743,15828.9682344394,15376.8582743735,38497.5752840648,6525.18694883196,1939.07662138719,1491.00662978228,4295.11702074001,4295.11702074001,5406.59093755214,4984.48828519357,4993.61414468149,3606.23911420746,2720.77929364462,2668.61805402797,11638.4956236379,8529,340,430,6738,1829,3405,1591,5026,8869,12402,6617,27252.418876648,47659.7723750353,54326.5435185042,8464.26357021915,19679.8103881672,14359.2749172825,1.04781708726615,0.63018899854121,0.460817140010037
"37","Sussex",1039,1326476,699059,54123.0927378605,3436.38248979806,652.789843390227,11780.4263114615,1988.13616186308,24444.8319014877,6214.67314318128,28453.3916667274,23029.4391142996,14871.3158066478,11126.6874980679,42723.1506603511,27841.8172520278,652.789843390227,652.789843390227,0,0,7454.55439850637,1443.70397591549,18459.1870494266,15153.0479752004,7422.56610494426,5015.32415921387,12643.7111050398,13343,662,3326,8902,3032,3372,3270,7180,14005,18632,10450,57559.4752276586,70893.3230228579,57594.4664669989,28494.607095418,27357.4454238484,20066.277209984,0.491496512062875,0.681057741734827,0.520774226860604
"38","Thames Valley",1150,1811832,898700,97955.2486469556,13856.2383702587,7833.52735509877,23123.7158672653,14873.2185445644,38510.0957450569,29002.9215253833,31045.009000068,30149.130303672,19127.7289800391,19127.7289800391,53762.0858100759,31118.2031589516,7833.52735509877,7833.52735509877,11803.4774940284,8715.16223247142,15070.5693283548,11080.8050678976,22300.2793331217,22300.2793331217,9488.86620019291,9488.86620019291,18234.6672625341,18322,1537,2908,15171,7069,8815,4557,9444,19859,33963,14001,111811.487017214,121681.742137773,72889.814790115,38951.7305140504,60255.1312234026,27723.533462727,0.509836141755926,0.563653240984215,0.505022205009462
"39","Warwickshire",1031,447075,231005,13758.5401990802,1167.14386639101,0,2065.62082502308,1881.77260782756,8375.240047314,4563.35149702668,5994.72927963231,5448.59000675429,7824.97265309407,7591.48519150882,11111.6319358724,4092.19439836035,565.809104788063,0,1676.37901021512,1676.37901021512,3490.90747557175,964.088683311557,4175.44395326916,3872.69606421438,4386.22344324936,4152.73598166411,2891.04708936443,3702,264,342,4517,886,2270,1073,2489,3966,8015,3562,14925.6840654713,20998.9416489961,18936.6045889665,4658.00350314841,10306.8191223676,7277.27053261379,0.851437745231261,0.777640502354995,0.48946922943658
"40","West Mercia",1034,1002883,514318,25163.1937804554,4063.58725748211,0,7905.72330877444,5852.52832818652,12380.0569721965,6159.73362316631,8990.97822874781,8592.33124981795,10253.6111233014,11048.5507739929,30998.7127833527,12864.0099222964,2726.88915655186,0,1075.08925779906,1075.08925779906,6579.03949492967,2980.03153932378,6282.83830719124,5884.19132826139,6236.07925596806,5677.45601323865,6325.96623694807,9563,429,623,6982,1464,3028,2707,5068,9992,12097,7775,29226.7810379375,35436.4921328851,41252.3239066541,15590.8990788482,16916.9985992437,12562.0454929161,0.640886708936233,0.715079565032345,0.618927865241724
"41","West Midlands",1438,2158382,1086748,121781.488579734,19715.0420822728,7772.29850937599,35295.8315375864,16318.5286240192,48026.8501040422,14468.1466566744,46210.491089505,40314.5495967573,30627.6167976662,29994.4832605174,49965.0379640407,39764.9110053907,7772.29850937599,7772.29850937599,3695.86608393571,3695.86608393571,21562.0267118099,6664.06222471785,32257.5255563574,28510.1942103085,17803.9986849649,17212.0355182338,12738.3245155369,23180,6604,3764,25096,3481,15898,8943,13024,29784,48239,21967,141496.530662007,144001.319387808,80592.6547617069,47537.2095147667,64179.4805768208,30542.3232005019,0.626540773091615,0.751626525588026,0.719231469583788
"42","West Yorkshire",1165,1779864,922452,47098.1293424603,5018.30344724365,1667.85494192905,19432.3684718255,17855.9495210894,42829.7618597895,18113.4049308598,30905.3470715835,25337.4324133078,18110.4125191358,15957.0491993585,58735.8226697674,20332.5193972955,1667.85494192905,1667.85494192905,11504.3698498772,11504.3698498772,22166.1645452047,6939.94571726245,20563.67357393,17591.3241848143,7887.23980242417,7887.23980242417,14541.1804068813,20002,2210,5165,23463,2604,17806,9519,11484,22212,49038,21003,52116.4327897039,111280.882334058,76846.2351889032,22000.3743392246,61174.1536862743,22428.4202093054,1.00961918454261,0.801613051346596,0.936445804207197
"43","Wiltshire",964,547787,282554,10643.212598951,1230.62699895185,576.945605818127,2771.08976238141,1712.29808047186,5161.1162402771,4851.85421381277,3951.04478435091,3656.59756921649,9014.87404724859,9014.87404724859,21709.643979628,4641.01419629503,1230.62699895185,576.945605818127,326.840696566863,326.840696566863,2518.93966175724,2056.18052037494,2257.64429000443,1963.19707487001,5931.24366270207,5931.24366270207,6349.28250132097,5387,219,363,3884,1169,1344,1218,3050,5606,6760,4268,11873.8395979028,16735.1050008222,30724.5180268766,5871.64119524688,7159.60516870347,12280.526164023,0.954758612385594,0.944186144446868,0.347542112039426
